Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
00;Satellite;90;AO-27;OFF;436,800000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;91;AO-27 Mid;OFF;436,795000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;92;AO-27;OFF;436,790000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;93;AO-27 LOS;OFF;436,785000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,850000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;94;LilacSat-2 AOS;OFF;437,210000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;144,350000;OFF;7,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;95;LilacSat-2;OFF;437,205000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;144,350000;OFF;7,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;96;LilacSat-2 Mid;OFF;437,200000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;144,350000;OFF;7,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;97;LilacSat-2;OFF;437,195000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;144,350000;OFF;7,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;98;LilacSat-2 LOS;OFF;437,190000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;144,350000;OFF;7,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;99;IO-117;OFF;435,310000;OFF;0,600000;USB;ON;2;;;;;;;;;;;OFF;145,825000;OFF;0,600000;FM;ON;2;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;
